Experiment name: EXP_0_1
Epoch [64/400], Average Loss: 5.2920e-04, Test Loss: 4.9542e-04, Current_LR:0.0005
Epoch [65/400], Average Loss: 5.2246e-04, Test Loss: 5.1357e-04, Current_LR:0.0005
Epoch [66/400], Average Loss: 5.1689e-04, Test Loss: 5.0801e-04, Current_LR:0.0005
Epoch [67/400], Average Loss: 5.2674e-04, Test Loss: 4.7864e-04, Current_LR:0.0005
Epoch [68/400], Average Loss: 5.1983e-04, Test Loss: 4.8659e-04, Current_LR:0.0005
Epoch [69/400], Average Loss: 5.1995e-04, Test Loss: 4.8679e-04, Current_LR:0.0005
Epoch [70/400], Average Loss: 5.1439e-04, Test Loss: 5.0252e-04, Current_LR:0.0005
Epoch [71/400], Average Loss: 5.2395e-04, Test Loss: 4.8447e-04, Current_LR:0.0005
Epoch [72/400], Average Loss: 5.1886e-04, Test Loss: 5.2204e-04, Current_LR:0.0005
Epoch [73/400], Average Loss: 5.1611e-04, Test Loss: 5.2385e-04, Current_LR:0.0005
Epoch [74/400], Average Loss: 5.1708e-04, Test Loss: 4.8478e-04, Current_LR:0.0005
Epoch [75/400], Average Loss: 5.0979e-04, Test Loss: 4.8734e-04, Current_LR:0.0005
Epoch [76/400], Average Loss: 5.0915e-04, Test Loss: 5.0801e-04, Current_LR:0.0005
Epoch [77/400], Average Loss: 5.1415e-04, Test Loss: 4.8921e-04, Current_LR:0.0005
Epoch [78/400], Average Loss: 5.0843e-04, Test Loss: 5.2041e-04, Current_LR:0.0005
Epoch [79/400], Average Loss: 5.1811e-04, Test Loss: 4.8037e-04, Current_LR:0.0005
Epoch [80/400], Average Loss: 5.0622e-04, Test Loss: 5.0286e-04, Current_LR:0.0005
Epoch [81/400], Average Loss: 5.1360e-04, Test Loss: 4.7810e-04, Current_LR:0.0005
Epoch [82/400], Average Loss: 5.1783e-04, Test Loss: 4.7468e-04, Current_LR:0.0005
Epoch [83/400], Average Loss: 5.0225e-04, Test Loss: 4.8300e-04, Current_LR:0.0005
Epoch [84/400], Average Loss: 4.9679e-04, Test Loss: 5.3127e-04, Current_LR:0.0004
Epoch [85/400], Average Loss: 5.1292e-04, Test Loss: 4.9424e-04, Current_LR:0.0004
Epoch [86/400], Average Loss: 5.0273e-04, Test Loss: 4.8003e-04, Current_LR:0.0004
Epoch [87/400], Average Loss: 5.0981e-04, Test Loss: 4.8564e-04, Current_LR:0.0004
Epoch [88/400], Average Loss: 5.0681e-04, Test Loss: 4.7093e-04, Current_LR:0.0004
Epoch [89/400], Average Loss: 5.0181e-04, Test Loss: 4.6715e-04, Current_LR:0.0004
Epoch [90/400], Average Loss: 5.0018e-04, Test Loss: 4.7195e-04, Current_LR:0.0004
Epoch [91/400], Average Loss: 5.0170e-04, Test Loss: 4.9760e-04, Current_LR:0.0004
Epoch [92/400], Average Loss: 4.9725e-04, Test Loss: 4.6581e-04, Current_LR:0.0004
Epoch [93/400], Average Loss: 5.0593e-04, Test Loss: 4.8203e-04, Current_LR:0.0004
Epoch [94/400], Average Loss: 4.9444e-04, Test Loss: 4.7153e-04, Current_LR:0.0004
